,Rpn10_Razul_KO/wt,,Rpn10_UIM_KO/wt,,Rpn13_KO/wt,,trRpn13/wt,,UCHL5_KO/wt,,USP14_KO/wt,
DOCK5,0.23,0.83,-0.06,0.18,0.29,1.01,0.09,0.33,-0.38,1.20,-0.31,0.82
RIN1,0.02,0.05,-0.33,0.76,0.03,0.06,-0.67,1.52,0.07,0.10,-0.29,0.65
GTF2B,0.04,0.24,0.05,0.38,0.13,0.86,-0.03,0.17,-0.18,1.26,0.14,0.97
TRIM47,0.30,2.27,0.23,1.90,0.25,1.80,0.11,0.59,-0.14,1.00,-0.01,0.06
WDR44,-0.15,1.26,0.33,2.44,0.28,1.52,-0.04,0.26,-0.26,2.08,-0.10,1.01
DICER1,0.10,0.32,0.12,0.43,0.31,1.34,0.24,1.21,-0.28,1.00,-0.03,0.08
HIST2H2AC,-0.48,1.02,-0.20,0.51,-0.36,0.92,-0.26,0.59,-0.09,0.21,-0.12,0.28
CNN2,0.63,4.03,0.37,3.55,0.35,2.31,0.25,2.22,-0.08,0.57,0.23,1.98
GBE1,0.09,0.17,0.38,1.05,0.01,0.01,0.17,0.63,-0.03,0.05,-0.34,1.07
NFKB1,0.10,0.34,0.15,0.69,0.04,0.10,0.12,0.53,0.23,0.77,0.18,0.46
PTGES2,-0.60,3.15,-0.24,1.91,-0.29,2.01,0.03,0.20,-0.39,1.93,-0.09,0.70
CFL2,0.28,1.04,0.40,1.51,0.20,0.74,0.16,0.60,0.34,1.40,0.39,1.65
GRB2,0.20,1.39,0.39,3.95,0.25,1.80,0.35,2.53,0.13,0.61,0.42,4.87
PPA2,-1.33,3.83,-0.54,2.30,-0.50,2.29,-0.21,1.48,-0.15,0.82,-0.20,1.34
RRP1,-0.01,0.22,-0.46,3.71,0.08,1.70,-0.14,2.48,0.04,0.54,0.01,0.05
NDUFS3,-0.09,0.23,0.00,0.01,-0.11,0.36,0.14,0.37,-0.30,0.85,-0.13,0.41
AARS2,0.08,0.19,0.23,0.64,-0.03,0.10,0.20,0.61,-0.32,0.98,-0.58,1.75
MAPT,-0.09,0.45,0.12,0.82,0.13,0.98,0.27,1.98,0.18,1.09,0.06,0.42
ANKLE2,0.12,0.33,0.07,0.21,0.08,0.34,0.16,0.50,0.28,0.75,0.31,1.44
MYL6,0.48,2.81,0.41,2.68,0.35,2.66,0.28,2.24,0.19,1.33,0.31,1.79
EHMT2,0.31,1.84,0.11,1.15,0.41,2.44,0.22,2.46,-0.01,0.03,0.30,2.40
VAPA,-0.24,1.15,-0.08,0.37,0.07,0.46,-0.08,0.51,-0.07,0.32,-0.02,0.09
PSME1,-0.08,0.43,-0.15,1.35,-0.74,3.12,-0.32,2.31,0.09,0.33,-0.36,3.20
MAOB,-1.07,4.83,-0.44,2.80,0.31,3.37,-0.69,4.10,0.20,1.52,0.02,0.11
ARHGEF16,-0.61,3.07,-0.65,3.10,0.18,1.49,-0.04,0.22,-0.63,3.21,0.14,1.00
LSR,-0.06,0.24,-0.15,0.70,0.04,0.10,-0.21,0.82,-0.57,1.84,0.03,0.06
RANBP1,-0.07,0.34,-0.20,1.13,-0.03,0.12,0.02,0.08,0.12,0.48,0.15,0.79
STK3,0.31,1.67,0.31,2.28,0.14,1.15,0.22,2.29,0.12,0.54,0.17,1.16
GTF3C2,-0.10,0.23,0.04,0.09,0.15,0.43,0.11,0.40,-0.31,1.09,0.01,0.03
RTKN,0.16,0.58,-0.23,0.85,0.03,0.10,0.16,0.60,0.00,0.01,-0.11,0.34
RAC1,-0.04,0.18,-0.09,0.54,-0.03,0.13,-0.12,0.74,0.00,0.01,-0.03,0.10
SCRN1,-0.04,0.16,0.21,1.06,0.17,0.82,0.19,0.95,-0.41,1.74,-0.10,0.45
UBE4A,-0.07,0.84,0.12,1.84,0.05,0.44,-0.03,0.16,-0.01,0.15,0.11,1.13
PPAN,0.09,0.28,-0.17,0.61,0.10,0.31,-0.03,0.07,0.08,0.17,0.15,0.47
CIP2A,0.06,0.17,0.26,1.30,0.32,1.50,0.14,0.56,0.09,0.24,0.09,0.34
AP1M1,0.42,3.13,0.33,2.05,0.07,0.56,0.20,2.12,0.34,1.71,0.03,0.13
TSFM,-0.14,0.75,-0.13,0.77,-0.01,0.06,-0.02,0.08,0.12,0.71,0.01,0.03
SUZ12,0.40,3.85,0.47,3.29,0.47,2.37,0.31,1.79,0.17,0.78,0.52,2.75
SH3PXD2B,-0.08,0.27,0.31,1.44,0.40,1.89,0.18,1.00,-0.22,1.84,-0.12,0.93
HPRT1,-0.18,1.05,-0.01,0.03,0.35,2.10,0.10,0.57,0.20,1.25,-0.15,0.81
HEXB,-0.46,2.28,-0.45,2.14,-0.40,2.01,-0.31,1.66,-0.55,2.18,-0.36,1.56
HLA-C,0.17,1.18,-0.45,2.97,0.51,3.18,-0.25,1.39,-0.57,2.83,0.09,0.79
EML2,-0.37,1.49,-0.31,1.28,0.00,0.01,-0.13,0.44,-0.15,0.59,-0.48,1.67
PDZD8,0.05,0.08,-0.04,0.06,-0.17,0.39,0.16,0.57,0.00,0.00,0.35,1.12
GOLM1,0.02,0.16,-0.13,2.04,0.33,2.31,-0.05,0.53,-0.21,1.02,0.41,2.03
CAPZA2,0.09,0.22,0.05,0.11,-0.07,0.17,-0.05,0.10,0.15,0.42,0.13,0.36
ILKAP,-0.06,0.69,0.09,0.60,0.24,2.25,0.07,0.86,0.30,3.32,0.73,4.51
ATL3,0.21,1.25,0.59,2.29,0.06,0.36,0.08,0.43,0.06,0.20,0.04,0.12
KRR1,-0.02,0.38,-0.28,2.28,0.12,1.96,-0.08,1.73,-0.14,2.52,-0.21,4.49
ATP13A1,-0.21,1.28,-0.35,2.99,0.26,2.31,-0.06,1.17,-0.84,4.73,-0.61,3.69
RABEP1,-0.07,0.32,0.14,1.27,0.15,1.33,0.15,1.33,0.03,0.22,-0.01,0.05
MGA,0.38,1.80,0.39,1.50,0.37,1.72,0.32,1.20,0.22,0.76,0.39,1.73
PDPR,0.11,0.22,-0.15,0.32,-0.51,1.52,0.02,0.03,0.06,0.11,-0.25,0.54
RBM6,-0.06,0.19,-0.15,0.92,0.08,0.32,0.03,0.15,0.14,0.47,0.11,0.46
LLGL1,-0.48,1.16,-0.22,0.50,-0.12,0.29,-0.09,0.20,-0.01,0.01,-0.34,0.67
SDF4,0.20,1.05,-0.02,0.10,0.18,1.18,0.21,1.19,-0.30,1.59,0.16,0.64
RPRD2,-0.60,1.64,-0.07,0.26,-0.24,0.55,0.10,0.29,-0.21,0.58,-0.10,0.28
EIF4H,0.14,0.73,0.02,0.09,0.23,1.24,0.20,1.11,0.03,0.08,0.19,0.98
TM9SF2,-0.18,0.89,-0.42,1.74,-0.12,0.62,-0.29,1.18,-0.49,1.74,-0.12,0.47
MYO5A,0.25,0.64,0.19,1.11,0.32,1.16,0.06,0.22,0.09,0.29,-0.08,0.24
TONSL,0.34,0.66,0.07,0.14,0.70,1.33,0.01,0.01,0.34,0.71,0.31,0.77
CRABP2,0.54,2.52,-0.59,2.79,0.10,0.63,0.11,0.74,0.15,0.72,0.48,2.45
U2AF2,0.00,0.00,-0.03,0.27,0.05,0.60,0.10,0.85,0.08,0.51,0.20,1.36
KIFC1,0.29,0.97,0.09,0.34,0.10,0.26,0.02,0.04,0.03,0.06,0.38,1.15
CAMK2G,0.77,2.93,1.11,3.68,0.56,2.10,0.64,1.83,0.60,2.06,0.44,1.37
DCTN4,0.46,4.11,0.55,3.84,0.27,2.81,0.28,2.00,0.04,0.24,0.16,3.30
DNAJC8,-0.41,1.23,-0.18,0.54,-0.46,1.26,-0.49,1.43,-0.38,1.05,-0.42,1.29
TASOR2,0.18,0.37,0.26,0.38,0.50,1.18,0.27,0.52,0.17,0.31,0.40,0.86
MFN2,0.65,2.93,0.45,2.26,0.35,1.54,0.33,1.55,0.06,0.16,0.49,2.43
TXLNA,0.23,1.50,0.08,0.44,0.22,1.05,0.10,0.45,0.21,0.80,0.28,1.76
LGALS3BP,0.24,1.77,-0.26,1.89,-0.14,1.03,-0.12,0.94,-0.10,0.72,-0.33,2.22
SYAP1,0.12,0.57,0.09,0.60,0.14,1.22,0.00,0.00,-0.15,1.05,0.16,1.23
CDC27,0.11,0.53,0.18,0.95,0.12,0.53,0.05,0.27,0.02,0.04,0.24,1.70
TBL2,-0.13,1.20,-0.41,2.75,-0.28,1.76,-0.25,2.13,-0.45,2.61,-0.21,1.60
VPS26A,-0.16,0.52,-0.05,0.14,-0.08,0.27,-0.18,0.62,-0.27,0.92,-0.25,0.90
ACAA1,-0.05,0.38,-0.03,0.19,-0.20,1.29,0.04,0.31,-0.10,0.77,-0.31,2.09
PGAM5,-0.01,0.05,-0.11,0.97,0.21,2.05,0.13,1.00,0.32,1.56,0.16,1.03
EIF2B4,-0.10,0.70,-0.23,1.77,0.16,0.94,-0.02,0.11,-0.08,0.50,0.13,0.91
RPTOR,0.16,0.48,-0.01,0.04,0.21,0.92,0.26,1.09,0.15,0.60,0.09,0.32
RPS16,-0.34,0.88,-0.31,0.88,-0.11,0.30,-0.25,0.68,-0.18,0.49,-0.18,0.46
RPS13,-0.68,1.23,-0.57,1.11,-0.35,0.69,-0.47,0.91,-0.39,0.79,-0.44,0.87
SRSF11,0.01,0.09,0.01,0.04,-0.04,0.26,0.04,0.30,-0.07,0.35,0.12,0.94
ITGA3,-0.45,1.69,-0.72,2.17,-0.22,0.89,-0.28,1.09,-0.48,1.82,-0.65,2.14
CIAPIN1,0.46,2.54,0.39,3.29,0.48,4.33,0.37,3.66,-0.01,0.05,0.23,3.15
PPIL4,0.44,1.87,0.42,1.64,0.08,0.29,0.12,0.56,0.02,0.05,0.08,0.32
NAPA,0.08,0.44,0.03,0.27,-0.04,0.29,0.05,0.29,-0.11,0.58,-0.11,0.99
EEF1AKNMT,0.01,0.07,-0.08,0.62,-0.03,0.11,0.04,0.13,-0.01,0.03,0.09,0.26
YTHDC2,-0.08,0.20,0.11,0.63,-0.05,0.11,-0.07,0.18,-0.41,1.41,-0.56,1.79
PDCD4,-2.00,4.55,-1.31,4.53,-0.85,3.42,-0.41,2.43,-0.49,2.21,-0.50,1.48
SUPV3L1,0.05,0.29,-0.08,0.48,0.17,1.14,0.31,1.85,0.23,1.46,0.05,0.18
GNL3L,0.42,1.74,0.08,0.60,0.35,1.71,0.12,0.47,0.05,0.18,0.08,0.52
PPP1R7,-0.69,2.26,-0.56,2.05,-0.08,0.24,-0.33,1.42,-0.71,2.40,-0.22,1.00
DNAJB11,-0.21,1.33,-0.18,1.09,-0.23,1.17,-0.18,1.07,-0.32,1.45,0.04,0.21
NCLN,0.01,0.05,-0.30,1.68,-0.04,0.21,0.00,0.01,-0.14,0.99,-0.47,2.52
ADAM9,0.50,1.44,0.38,1.40,-0.03,0.08,0.20,0.70,-0.03,0.07,-0.06,0.21
EIF3M,-0.17,0.17,-0.24,0.25,-0.12,0.12,-0.21,0.22,-0.26,0.27,-0.21,0.21
MED12,0.07,0.09,0.04,0.06,0.12,0.15,0.11,0.16,-0.13,0.18,0.23,0.28
ACSF3,-0.34,1.07,-0.34,1.26,-0.07,0.25,0.02,0.05,0.26,0.44,-0.26,0.73
UBE2T,1.02,3.08,1.04,2.99,0.97,3.01,0.62,1.31,0.22,0.45,0.67,1.87
PTPN12,-0.06,0.57,0.38,2.91,0.12,1.57,0.13,1.43,-0.08,1.04,0.08,0.66
SHMT1,-0.16,1.30,-0.24,2.25,0.04,0.26,-0.17,1.67,-0.08,0.68,0.16,1.68
CORO1B,0.09,1.84,0.08,0.89,-0.23,4.58,-0.15,3.42,-0.08,1.79,-0.17,3.22
GRHPR,-0.53,1.58,-0.37,1.14,-0.28,0.91,-0.15,0.50,-0.04,0.12,-0.15,0.49
ITCH,0.45,2.07,0.38,1.90,0.54,2.06,0.18,0.72,0.32,1.47,0.34,1.60
FKBP8,-0.06,0.28,0.09,0.46,0.04,0.17,0.00,0.02,-0.03,0.11,0.10,0.56
SNRPD3,0.03,0.18,0.06,0.45,0.03,0.18,0.08,0.85,0.11,0.66,0.25,1.74
KPNA4,-0.07,0.16,0.02,0.04,0.02,0.04,-0.01,0.02,-0.08,0.16,-0.09,0.21
TACC3,0.74,2.72,0.64,2.47,0.85,2.28,0.26,0.98,0.12,0.31,0.62,2.00
RPS10,-0.04,0.30,-0.01,0.15,0.11,0.97,0.01,0.14,0.18,2.06,0.09,1.11
SNRPB,-0.38,2.52,-0.27,1.41,-0.35,2.38,-0.19,1.55,-0.20,0.89,-0.07,0.33
SAAL1,-0.21,0.41,-0.07,0.13,-0.10,0.19,-0.12,0.20,-0.17,0.31,-0.06,0.11
FAF1,-0.05,0.25,0.17,0.90,-0.36,1.71,0.17,0.95,0.19,0.80,0.26,1.39
TFAM,-0.56,1.55,-0.43,1.30,-0.36,1.10,-0.30,0.87,-0.15,0.41,-0.22,0.64
PACSIN3,-0.09,0.55,-0.65,2.79,-0.14,0.86,-0.38,1.96,-0.12,0.75,-0.23,1.42
MRPS5,-0.33,1.96,-0.36,2.41,0.03,0.14,-0.10,0.61,-0.20,1.09,-0.39,2.52
ELP3,-0.33,1.21,-0.35,1.60,-0.17,0.86,-0.12,0.54,-0.29,0.95,-0.27,1.06
MAPK1,0.02,0.21,0.11,0.71,0.14,1.14,0.03,0.29,-0.17,1.20,0.15,1.63
SNRPA,-0.07,0.47,-0.04,0.23,-0.08,0.62,0.07,0.41,0.11,0.51,0.12,0.56
CLPTM1,0.22,1.09,0.17,0.68,0.11,0.55,-0.09,0.50,-0.08,0.60,0.22,1.15
NIPBL,-0.20,0.70,-0.03,0.10,-0.05,0.14,-0.20,0.61,-0.27,0.85,0.01,0.03
PPP4C,-0.04,0.14,0.06,0.28,0.26,1.45,0.14,0.69,-0.14,0.76,0.20,1.22
AHCYL1,-0.13,1.53,0.01,0.06,-0.02,0.17,-0.66,4.73,-0.01,0.05,0.07,1.51
ELP2,-0.32,1.38,-0.29,1.24,0.15,0.66,-0.10,0.45,0.08,0.29,-0.08,0.27
RCN1,-0.29,0.65,-0.32,0.86,-0.41,1.08,-0.22,0.58,-0.28,0.74,-0.23,0.58
NRAS,0.21,1.29,0.19,1.33,0.27,1.56,0.11,0.77,0.14,0.79,0.14,0.72
PPP1R8,-0.02,0.10,0.03,0.97,-0.04,0.43,0.06,0.33,-0.17,2.48,0.02,0.35
SWAP70,0.36,0.69,0.24,0.49,-0.08,0.14,0.02,0.02,-0.14,0.20,0.00,0.00
TFIP11,0.13,1.39,0.16,2.00,0.25,1.97,0.20,2.31,0.02,0.12,-0.03,0.20
PKP2,-1.31,2.76,-1.06,2.64,0.15,0.71,0.01,0.01,0.12,0.30,-0.05,0.11
UBA5,0.13,0.51,0.20,0.81,0.45,2.11,0.14,0.64,0.18,0.87,0.07,0.23
RPL36,-0.43,1.69,-0.41,1.68,-0.18,0.77,-0.23,0.98,-0.29,1.25,-0.27,1.19
TELO2,0.00,0.01,-0.21,0.64,0.11,0.36,-0.59,1.62,-0.20,0.53,-0.14,0.43
RPS14,-0.13,0.29,-0.18,0.44,0.04,0.10,-0.07,0.16,0.02,0.04,-0.01,0.02
CDC40,0.58,2.79,0.78,4.16,0.17,0.87,0.30,1.51,0.08,0.33,0.35,3.40
ATP2C1,-0.03,0.06,-0.02,0.04,0.19,0.45,0.01,0.02,-0.25,0.58,0.11,0.32
ZNF598,0.02,0.09,-0.27,1.51,0.36,2.55,0.10,0.67,0.11,0.63,0.00,0.02
LRWD1,-0.02,0.08,-0.06,0.28,-0.18,0.71,0.00,0.01,-0.07,0.23,-0.07,0.27
GNPDA1,-0.35,1.32,-0.05,0.18,-0.07,0.22,-0.24,0.90,-0.08,0.24,-0.35,1.32
CPSF7,-0.26,0.47,-0.08,0.13,-0.18,0.34,-0.20,0.38,-0.20,0.37,-0.01,0.01
ENO3,-0.16,0.08,0.09,0.04,0.20,0.12,0.56,0.34,0.29,0.19,0.23,0.13
KDM2A,0.77,3.16,1.00,3.89,0.51,1.81,0.33,1.20,0.21,0.94,0.55,2.70
WDR11,-0.59,1.13,-0.22,0.45,-0.12,0.19,-0.23,0.44,-0.22,0.43,-0.97,1.67
HMGN2,-0.20,0.94,-0.23,0.98,-0.62,2.03,-0.38,1.46,-0.73,2.22,-0.44,1.87
RBBP7,0.16,1.49,0.29,2.67,0.05,0.67,0.11,1.46,0.25,2.27,0.34,2.78
BCL2L2,-0.18,1.04,-0.03,0.13,-0.20,0.84,0.03,0.12,-0.31,1.41,0.09,0.42
GOLGA2,-0.14,0.58,-0.05,0.15,0.07,0.28,0.08,0.31,-0.40,1.57,-0.04,0.12
PAK1IP1,-0.30,1.79,-0.48,2.46,-0.03,0.18,-0.13,0.85,-0.41,2.34,-0.31,1.95
NOM1,0.03,0.35,-0.35,1.78,0.22,1.70,0.13,1.34,0.21,1.49,0.14,1.66
LUC7L,0.30,0.87,0.36,1.12,0.59,1.93,0.21,0.58,0.22,0.57,0.62,1.99
IMPA1,0.15,1.80,0.42,2.72,0.03,0.32,0.19,2.15,0.23,1.83,-0.07,0.98
CD2BP2,0.25,1.49,0.04,0.36,-0.08,0.37,0.02,0.09,-0.11,0.80,0.06,0.34
CDK2,-0.09,0.26,-0.14,0.50,0.02,0.07,-0.03,0.11,-0.24,0.77,0.23,1.09
MTO1,-0.17,0.17,-0.01,0.02,0.07,0.08,-0.03,0.03,0.05,0.05,-0.27,0.38
FANCI,-0.18,0.61,-0.27,1.00,0.10,0.33,-0.08,0.17,-0.05,0.14,-0.24,0.83
NELFB,-0.20,1.18,-0.23,1.46,-0.30,2.15,-0.13,1.24,-0.13,0.63,-0.22,1.38
FHOD1,-0.34,1.45,0.34,1.69,0.25,1.05,-0.04,0.23,0.29,1.42,-0.01,0.04
RPL19,-0.09,0.47,-0.11,0.94,0.08,0.46,0.04,0.35,0.01,0.06,0.03,0.23
STK39,-0.67,2.27,-1.89,3.44,-0.68,2.29,-0.51,1.95,-0.11,0.41,-0.43,1.68
PTGFRN,-0.04,0.10,-0.28,1.32,-0.22,0.87,0.21,0.94,-0.01,0.03,0.02,0.06
APPL1,-0.26,0.97,-0.04,0.29,0.19,1.21,0.18,1.24,0.23,1.27,0.38,2.62
H2AFY2,-0.39,4.30,-0.26,2.28,0.29,3.05,0.18,1.87,-0.49,3.96,0.10,0.59
DDX11,0.04,0.07,0.16,0.33,0.57,1.59,0.23,0.56,0.19,0.42,0.22,0.47
PPP4R3A,0.35,2.13,0.26,1.47,0.36,2.12,0.25,1.27,0.06,0.32,0.37,2.21
ACP1,-0.16,2.01,-0.07,0.55,0.07,2.27,0.05,2.09,-0.07,0.89,0.18,2.01
HDHD5,-0.60,0.80,-0.58,0.78,-0.24,0.32,-0.21,0.28,-0.81,1.04,-0.56,0.75
CDK6,0.91,3.40,1.92,4.79,0.56,1.98,0.06,0.15,0.78,2.69,1.05,3.61
GPHN,-0.42,2.04,-0.42,1.91,-0.12,0.65,-0.08,0.44,0.02,0.09,0.09,0.53
EIF2B5,-0.17,1.33,-0.23,1.78,0.13,0.91,0.01,0.04,-0.15,0.92,0.11,0.93
HMGB3,-0.22,1.33,-0.01,0.14,-0.03,0.31,0.04,0.20,-0.30,1.95,-0.09,0.82
METAP1,-0.26,1.61,-0.20,1.06,-0.03,0.18,-0.08,0.44,-0.16,1.03,-0.03,0.16
SEC63,-0.51,1.72,-0.30,1.21,-0.50,1.98,-0.08,0.32,-0.13,0.51,-0.16,0.68
UBE2M,0.08,0.42,0.16,1.00,0.12,0.66,0.17,1.06,0.23,1.38,0.14,0.82
FAM3C,-0.22,1.83,-0.60,3.86,0.13,1.56,-0.01,0.08,-0.22,1.26,0.49,3.01
PEPD,0.13,0.66,0.44,1.92,0.18,1.35,0.19,0.98,0.02,0.10,-0.24,1.21
CTDP1,0.38,2.06,0.28,1.75,0.35,2.01,0.21,1.07,0.05,0.19,0.12,0.74
THUMPD1,0.21,1.76,0.15,1.58,0.18,1.33,0.13,1.22,0.11,0.64,-0.02,0.10
RPL12,-0.04,0.20,-0.11,0.59,0.06,0.30,-0.02,0.06,0.04,0.18,-0.03,0.12
SRC,0.16,0.25,0.16,0.22,0.20,0.27,0.11,0.17,-0.24,0.33,0.06,0.08
KIF22,0.28,1.23,0.02,0.07,0.09,0.49,0.06,0.26,0.18,0.48,0.39,2.92
MTPAP,-0.09,0.65,-0.19,1.24,0.18,1.24,0.02,0.12,0.23,1.95,0.19,1.07
PPP1CB,-0.06,0.15,0.05,0.15,-0.04,0.10,0.07,0.16,0.02,0.05,0.15,0.56
DCTN2,-0.26,0.56,0.00,0.00,-0.20,0.43,-0.25,0.54,-0.40,0.87,-0.31,0.65
PDS5B,0.13,0.85,0.26,1.50,0.05,0.62,0.16,1.30,0.24,2.13,0.19,1.07
HADH,-0.87,2.63,-0.52,2.04,-0.37,1.37,-0.21,0.96,0.32,1.12,0.14,0.73
ANAPC7,-0.16,1.12,0.01,0.04,0.17,1.03,0.04,0.23,0.02,0.09,0.13,0.68
COG1,-0.28,0.45,-0.19,0.33,-0.04,0.05,0.08,0.10,-0.30,0.39,-0.21,0.29
WDR77,-0.15,0.97,-0.14,2.08,-0.04,0.19,0.01,0.03,-0.03,0.15,0.11,0.93
MIPEP,-0.38,1.72,-0.42,2.20,0.11,0.52,0.05,0.33,0.20,0.91,0.01,0.04
PGLS,0.15,1.88,0.10,1.41,-0.01,0.06,0.12,1.72,0.00,0.01,0.11,1.46
BZW2,-0.22,0.43,0.12,0.25,-0.24,0.48,-0.15,0.30,0.18,0.38,0.09,0.17
MOGS,-0.35,1.68,-0.81,3.06,-0.12,0.71,-0.12,0.72,-0.29,1.68,-0.21,1.27
SLC27A4,-0.07,0.34,-0.41,2.49,0.13,0.64,-0.11,0.51,-0.20,0.94,-0.28,1.81
CARMIL1,-0.40,2.32,-0.40,1.71,0.23,1.24,0.02,0.08,-0.48,1.74,-0.01,0.03
CCDC86,0.45,2.11,0.05,0.23,0.25,1.82,0.19,1.51,0.06,0.34,0.12,0.73
HSD17B12,-0.06,0.07,0.07,0.08,-0.13,0.15,-0.09,0.10,-0.38,0.49,-0.28,0.35
PANK4,-0.03,0.06,-0.06,0.14,0.24,0.52,0.21,0.68,-0.22,0.53,0.00,0.01
AMPD2,0.43,2.82,0.06,0.29,0.08,0.50,0.20,0.94,0.48,2.99,-0.39,2.02
RBM12B,0.10,1.44,0.14,0.93,0.05,0.77,0.23,2.36,0.02,0.11,0.20,2.50
RAB8A,0.17,1.66,0.13,1.16,0.21,2.00,0.08,0.82,0.14,0.96,0.16,0.92
MRPL37,-0.55,2.84,-0.46,3.03,-0.09,0.55,-0.27,1.77,-0.32,1.68,-0.36,2.70
MAT2B,-0.04,0.13,0.10,0.41,0.10,0.41,0.13,0.45,-0.18,0.73,0.09,0.39
CYCS,-0.13,0.73,-0.55,3.99,0.03,0.19,-0.07,0.26,0.34,2.74,-0.08,0.29
CTBP2,-0.03,0.16,0.12,1.06,0.12,1.09,0.10,0.82,-0.23,1.58,0.09,0.55
RBBP5,0.22,1.04,0.33,1.50,0.02,0.06,-0.04,0.14,-0.02,0.07,0.18,0.63
NBAS,-0.05,0.12,0.02,0.04,-0.04,0.10,0.26,0.80,0.00,0.01,-0.15,0.36
NAA35,0.00,0.01,0.15,0.58,0.14,0.51,0.12,0.43,-0.16,0.53,0.07,0.23
PITPNA,0.15,0.68,0.21,1.06,0.28,1.34,0.25,1.48,0.16,0.73,0.01,0.06
VRK1,-0.37,1.63,-0.65,3.18,0.08,0.34,-0.26,1.90,0.17,0.90,0.18,0.65
DYNC1LI2,0.42,2.24,0.62,2.69,0.55,3.23,0.27,1.49,-0.09,0.34,0.06,0.19
YJU2,0.57,2.85,0.43,2.45,0.61,2.03,0.34,1.88,0.19,0.91,0.42,1.67
RBM5,0.38,1.82,0.32,1.93,0.12,0.81,0.24,1.56,0.06,0.14,0.09,1.09
PRKACB,-0.61,2.24,0.13,0.59,-0.20,0.96,-0.01,0.05,0.01,0.04,0.08,0.30
PABPN1,0.00,0.01,0.23,0.34,-0.08,0.13,0.28,0.56,-0.45,0.76,-0.04,0.06
ENAH,0.07,0.25,0.29,1.59,0.21,1.01,0.28,1.43,0.43,1.69,0.21,1.08
PGP,-0.09,0.73,-0.22,1.61,0.06,0.87,-0.07,0.34,-0.40,3.01,-0.13,1.67
EMD,-0.34,1.46,-0.44,1.95,-0.35,1.54,-0.18,0.88,-0.22,0.79,-0.29,1.30
COPE,0.31,2.71,0.23,3.06,0.13,2.72,0.09,1.47,0.16,1.29,0.22,2.28
CSK,-0.09,0.38,-0.12,0.50,-0.02,0.08,0.10,0.45,-0.13,0.59,0.12,0.52
WNK1,0.00,0.00,0.30,0.87,0.88,2.19,0.15,0.42,0.09,0.24,0.21,0.43
SLC4A2,0.38,1.22,-0.12,0.39,0.06,0.15,-0.27,0.82,0.19,0.80,0.05,0.16
SDAD1,0.17,2.82,0.09,0.61,0.11,0.72,0.17,1.72,0.23,1.55,0.17,1.82
NAA16,-0.46,1.12,-0.14,0.46,0.17,0.47,0.08,0.19,-0.04,0.08,0.01,0.03
JMJD6,0.35,1.75,0.24,0.93,0.18,0.89,0.16,0.69,0.56,2.58,0.46,1.91
POLD2,-0.07,0.19,-0.15,0.55,0.16,0.77,-0.03,0.13,-0.12,0.35,0.14,0.70
CNOT3,-0.27,1.70,-0.09,0.28,-0.10,0.47,-0.04,0.09,-0.21,0.73,-0.03,0.05
MTHFD2,-0.20,1.42,-0.16,1.45,-0.07,0.59,0.04,0.28,0.37,1.98,-0.04,0.21
TNPO3,-0.14,1.75,0.01,0.07,0.21,2.41,0.14,2.20,-0.27,2.21,0.04,0.66
SAMM50,-0.02,0.07,0.06,0.17,-0.02,0.09,-0.02,0.04,0.06,0.27,-0.59,2.14
STAM,0.01,0.04,0.11,0.85,0.15,1.10,0.07,0.52,-0.06,0.21,-0.11,0.57
HSD17B11,-0.04,0.25,0.12,0.90,-0.02,0.20,-0.13,1.12,-0.23,2.17,-0.01,0.04
STRN4,0.03,0.10,0.20,0.87,0.37,1.41,0.18,0.61,-0.12,0.35,0.13,0.44
STXBP3,0.22,2.33,0.24,1.47,0.28,2.50,0.11,0.91,-0.07,0.59,0.12,0.58
RAB2A,0.06,0.23,0.07,0.30,0.17,0.74,0.06,0.26,-0.10,0.31,0.16,0.62
RPRD1B,-0.08,0.52,-0.13,0.91,0.00,0.01,0.02,0.11,0.01,0.02,0.08,0.63
KMT2A,0.17,0.85,0.20,1.25,0.21,1.02,0.33,1.50,0.09,0.18,0.22,0.44
PNP,-0.06,0.58,-0.39,3.00,0.25,2.48,-0.01,0.12,0.15,1.84,-0.11,0.81
SHCBP1,0.71,1.90,0.64,1.58,0.34,0.69,0.25,0.44,0.12,0.18,0.71,1.25
MMS19,-0.42,1.72,-0.39,1.69,0.01,0.06,-0.25,1.21,-0.26,1.04,-0.61,2.27
JMJD1C,0.09,0.18,0.51,1.25,0.31,0.54,0.02,0.04,0.20,0.52,0.32,0.76
COPS3,0.15,0.90,0.10,0.38,0.16,0.96,0.18,1.68,0.05,0.21,0.24,1.82
APRT,-0.09,0.21,-0.15,0.38,-0.09,0.21,-0.08,0.19,-0.06,0.13,-0.29,0.76
HMMR,0.55,2.27,0.56,1.76,0.47,1.55,0.08,0.16,0.06,0.13,-0.69,1.92
PGM3,-0.17,1.63,-0.04,0.46,0.22,2.08,-0.20,2.15,-0.15,1.89,-0.15,1.67
SNAP29,0.48,2.05,0.52,1.59,0.55,2.81,0.31,1.42,0.31,1.14,0.40,2.31
PPIP5K2,0.06,0.48,0.35,2.40,0.28,2.23,0.17,1.47,-0.01,0.05,0.15,0.77
CEP170B,-0.33,0.79,-0.31,0.72,0.22,0.68,0.00,0.00,-0.19,0.31,-0.12,0.29
